time,signal
0, 1023 
1, 1023
3, 1023
4, 1023
5, 1023
7, 1023
14, 1023
24, 1023
34, 1023
45, 1023
55, 1023
66, 1023
76, 1023
87, 1023
97, 1023
107, 1023
118, 1023
131, 1023
142, 1023
153, 1023
164, 1023
176, 1023
187, 1021
199, 1023
210, 1023
222, 1023
233, 1023
244, 1023
256, 1023
268, 1023
279, 1023
290, 1023
302, 1023
313, 1023
325, 1023
336, 1023
348, 1023
359, 1023
370, 1023
381, 1023
394, 1023
405, 1023
416, 1023
428, 1022
439, 1023
450, 1022
462, 1023
474, 1023
485, 1022
496, 1023
507, 1023
519, 1023
531, 1023
542, 1023
553, 1023
565, 1023
576, 1023
587, 1023
600, 1023
611, 1023
622, 1023
633, 1023
645, 1023
657, 1023
668, 1023
679, 1023
691, 1023
702, 1023
713, 1021
726, 1023
737, 1023
748, 1023
759, 1023
771, 1023
782, 1022
794, 1023
805, 1023
817, 1023
828, 1022
839, 1023
850, 1021
863, 1023
874, 1023
885, 1019
897, 1022
908, 1023
919, 1023
931, 1023
943, 1023
954, 1022
965, 1023
976, 1023
988, 1023
1000, 1023
1012, 1021
1025, 1023
1037, 1023
1049, 1023
1062, 1022
1075, 1023
1087, 1023
1099, 1023
1112, 1023
1125, 1023
1137, 1023
1149, 1023
1162, 1023
1174, 1023
1186, 1023
1200, 1021
1212, 1023
1224, 1023
1236, 1023
1249, 1023
1262, 1023
1274, 1023
1287, 1021
1299, 1023
1311, 1020
1325, 1023
1337, 1023
1349, 1023
1361, 1023
1374, 1023
1386, 1023
1399, 1023
1412, 1023
1424, 1023
1436, 1023
1448, 1023
1462, 1023
1474, 1023
1486, 1023
1499, 1020
1511, 1023
1524, 1023
1537, 1023
1549, 1023
1561, 1023
1573, 1023
1586, 1023
1599, 1023
1611, 1021
1624, 1023
1636, 1023
1648, 1023
1661, 1022
1674, 1023
1686, 1021
1698, 1023
1711, 1020
1724, 1023
1736, 1023
1748, 1023
1761, 1023
1773, 1023
1785, 1020
1799, 1023
1811, 1022
1823, 1022
1836, 1023
1848, 1023
1861, 1023
1873, 1022
1886, 1023
1898, 1023
1910, 1023
1924, 1023
1936, 1023
1948, 1023
1960, 1023
1973, 1021
1985, 1023
1998, 1016
2011, 1023
2023, 1023
2035, 1023
2048, 1023
2061, 1023
2073, 1023
2085, 1021
2098, 1023
2110, 1020
2123, 1023
2136, 1020
2148, 1023
2160, 1020
2172, 1023
2185, 1020
2198, 1023
2210, 1023
2223, 1023
2235, 1023
2247, 1023
2260, 1020
2273, 1023
2285, 1020
2297, 1015
2310, 1023
2323, 1019
2335, 1023
2348, 1023
2360, 1023
2372, 1023
2384, 1023
2398, 1021
2410, 1023
2422, 1023
2435, 1023
2447, 1023
2460, 1023
2472, 1023
2485, 1021
2497, 1022
2509, 1020
2523, 1023
2535, 1023
2547, 1023
2560, 1023
2572, 1023
2584, 1022
2597, 1023
2610, 1021
2622, 1023
2634, 1023
2647, 1023
2660, 1022
2672, 1020
2684, 1023
2697, 1016
2709, 1023
2722, 1023
2757, 335
2769, 336
2781, 334
2793, 334
2804, 335
2816, 335
2827, 335
2838, 335
2849, 334
2862, 334
2873, 335
2884, 334
2895, 334
2907, 334
2918, 333
2930, 334
2941, 334
2953, 334
2964, 334
2975, 334
2988, 333
2999, 334
3010, 334
3021, 333
3033, 333
3044, 332
3056, 333
3067, 333
3079, 334
3090, 332
3101, 333
3112, 332
3125, 332
3136, 332
3147, 333
3159, 332
3170, 332
3181, 333
3193, 332
3205, 333
3216, 333
3227, 332
3238, 332
3250, 333
3262, 332

3273, 332
3284, 332
3296, 333
3307, 333
3319, 333
3331, 333
3342, 333
3353, 333
3364, 333
3376, 332
3388, 333
3399, 333
3410, 333
3422, 332
3433, 333
3444, 332
3457, 332
3468, 332
3479, 332
3490, 333
3502, 331
3513, 332
3525, 332
3536, 332
3548, 333
3559, 332
3570, 333
3581, 332
3594, 332
3605, 331
3616, 331
3628, 331
3639, 332
3650, 332
3662, 332
3674, 332
3685, 332
3696, 332
3707, 332
3720, 332
3731, 332
3742, 332
3753, 333
3765, 332
3776, 331
3788, 332
3800, 332
3811, 331
3822, 331
3833, 332
3845, 332
3857, 332
3868, 331
3879, 332
3891, 332
3902, 332
3913, 332
3926, 332
3937, 332
3948, 331
3959, 331
3971, 331
3982, 331
3994, 332
4005, 331
4017, 331
4028, 332
4039, 330
4051, 330
4063, 331
4074, 331
4085, 330
4097, 331
4108, 331
4120, 331
4131, 330
4143, 330
4154, 331
4165, 331
4176, 331
4189, 330
4200, 331
4211, 331
4222, 331
4234, 331
4245, 331
4257, 331
4269, 331
4280, 331
4291, 331
4302, 331
4314, 331
4326, 330
4337, 331
4348, 330
4360, 331
4371, 331
4382, 331
4395, 331
4406, 331
4417, 330
4428, 331
4440, 330
4452, 331
4463, 329
4474, 331
4486, 330
4497, 330
4508, 331
4520, 330
4532, 330
4543, 330
4554, 330
4566, 330
4577, 330
4589, 329
4600, 330
4612, 330
4623, 330
4634, 329
4645, 330
4658, 330
4669, 330
4680, 331
4691, 330
4703, 330
4714, 330
4726, 330
4738, 330
4749, 330
4760, 330
4771, 330
4784, 330
4795, 330
4806, 330
4817, 330
4829, 330
4840, 331
4852, 330
4864, 330
4875, 330
4886, 330
4897, 329
4909, 330
4921, 330
4932, 330
4943, 330
4955, 329
4966, 330
4977, 329
4989, 330
5001, 330
5012, 330
5023, 329
5035, 329
5046, 330
5058, 330
5069, 330
5081, 329
5092, 330
5103, 330
5114, 329
5127, 330
5138, 330
5149, 329
5160, 330
5172, 330
5184, 329
5195, 329
5207, 329
5218, 329
5229, 329
5240, 329
5253, 329
5264, 329
5275, 330
5286, 330
5298, 329
5309, 330
5321, 330
5332, 329
5344, 330
5355, 330
5366, 330
5378, 330
5390, 330
5401, 329
5412, 330
5424, 330
5435, 329
5446, 330
5458, 330
5470, 330
5481, 330
5492, 330
5504, 330
5516, 330
5527, 330
5538, 330
5550, 329
5561, 330
5572, 330
5584, 330
5596, 330
5607, 329
5618, 330
5629, 329
5641, 329
5653, 329
5664, 330
5676, 329
5687, 329
5698, 329
5709, 329
5722, 329
5733, 329
5744, 329
5755, 329
5767, 329
5778, 329
5790, 329
5801, 329
5813, 329
5824, 329
5835, 329
5847, 328
5859, 329
5870, 329
5881, 329
5893, 329
5904, 328
5916, 329
5927, 328
5939, 329
5950, 329
5961, 330
5972, 329
5985, 329
5996, 328
6007, 329
6019, 329
6030, 329
6041, 329
6053, 330
6065, 329
6076, 329
6087, 329
6098, 329
6110, 330
6122, 329
6133, 330
6145, 329
6156, 329
6167, 329
6178, 329
6191, 329
6202, 329
6213, 329
6224, 329
6236, 328
6248, 328
6259, 329
6270, 329
6282, 329
6293, 329
6304, 329
6317, 329
6328, 329
6339, 329
6350, 329
6362, 328
6373, 329
6385, 329
6396, 328
6408, 329
6419, 329
6430, 329
6441, 329
6454, 328
6465, 330
6476, 329
6488, 329
6499, 329
6510, 329
6522, 328
6534, 329
6545, 329
6556, 329
6567, 329
6579, 329
6591, 329
6602, 329
6614, 329
6625, 328
6636, 329
6648, 329
6660, 329
6671, 328
6682, 328
6693, 329
6705, 329
6717, 328
6728, 329
6739, 329
6751, 328
6762, 329
6773, 329
6786, 329
6797, 329
6808, 329
6819, 329
6831, 329
6842, 328
6854, 329
6865, 329
6877, 329
6888, 329
6899, 329
6910, 329
6923, 328
6934, 329
6945, 329
6957, 329
6968, 328
6980, 329
6991, 329
7003, 329
7014, 328
7025, 329
7036, 329
7049, 329
7060, 329
7071, 328
7083, 329
7094, 329
7105, 328
7117, 329
7129, 329
7140, 329
7151, 329
7162, 329
7174, 328
7186, 328
7197, 329
7208, 328
7220, 329
7231, 329
7242, 329
7255, 328
7266, 328
7277, 329
7288, 328
7300, 329
7311, 328
7323, 328
7334, 329
7346, 328
7357, 328
7368, 327
7380, 327
7392, 328
7403, 328
7414, 328
7426, 328
7437, 329
7449, 328
7460, 328
7472, 328
7483, 328
7494, 329
7505, 328
7518, 328
7529, 329
7540, 328
7552, 328
7563, 327
7574, 328
7586, 329
7598, 327
7609, 328
7620, 328
7631, 328
7643, 328
7655, 328
7666, 328
7677, 328
7689, 328
7700, 329
7712, 328
7724, 328
7735, 328
7746, 328
7757, 328
7769, 328
7781, 328
7792, 329
7803, 328
7815, 329
7826, 328
7837, 328
7849, 328
7861, 328
7872, 329
7883, 328
7895, 328
7906, 327
7918, 328
7929, 328
7941, 328
7952, 328
7963, 328
7974, 329
7987, 328
7998, 327
8009, 327
8020, 327
8032, 328
8043, 329
8055, 328
8067, 327
8078, 328
8089, 328
8100, 328
8113, 328
8124, 327
8135, 327
8146, 328
8158, 329
8169, 328
8181, 328
8193, 328
8204, 327
8215, 327
8226, 327
8238, 327
8250, 328
8261, 328
8272, 328
8284, 328
8295, 326
8306, 328
8318, 328
8330, 328
8341, 327
8352, 327
8364, 328
8375, 327
8387, 328
8398, 327
