
Time,Pvalues,Tvalues
0,0,833
200,0,832
401,0,828
602,0,833
802,0,827
1003,0,833
1204,0,844
1404,0,868
1605,0,869
1806,0,870
2007,0,871
2207,0,871
2408,0,872
2609,0,872
2809,0,872
3010,0,872
3211,0,873
3411,0,874
3612,0,874
3813,0,873
4014,0,876
4214,0,874
4415,0,873
4616,0,873
4816,0,873
5017,0,872
5218,0,873
5419,0,874
5619,5,872
5819,85,872
6021,263,872
6221,290,956
6422,342,873
6623,383,875
6823,455,963
7024,490,874
7225,535,956
7426,483,867
7626,535,956
7827,534,866
8028,484,864
8228,535,956
8429,483,866
8631,533,956
8832,485,865
9032,484,956
9233,536,867
9434,484,866
9634,537,956
9835,486,867
10036,535,956
10236,484,867
10437,483,956
10638,534,866
10840,483,862
11040,535,956
11241,482,866
11442,535,955
11642,483,866
11843,536,955
12044,483,865
12244,484,955
12445,537,867
12647,486,862
12848,536,955
13048,486,868
13249,535,955
13450,484,867
13650,535,955
13851,483,866
14052,534,955
14254,534,865
14454,482,860
14655,535,955
14856,484,866
15056,535,955
15257,486,865
15458,536,955
15659,486,866
15860,536,956
16061,535,867
16262,486,862
16462,535,954
16663,483,867
16864,535,955
17064,529,866
17265,827,956
17467,992,863
17668,1021,955
17868,1022,956
18069,1021,956
18270,1021,956
18470,1022,956
18671,1022,956
18873,1022,956
19074,1022,956
19274,1023,955
19475,1022,955
19676,1022,955
19876,1022,954
20078,1022,955
20279,1023,955
20480,1022,955
20680,1022,955
20881,1022,954
21082,1022,955
21283,1022,955
21484,1023,954
21685,1021,954
21885,1022,953
22086,1022,955
22287,1022,954
22489,1023,953
22689,1022,954
22890,1021,955
23091,1021,954
23291,1022,956
23492,1021,954
23694,1022,954
23895,1022,954
24095,1022,954
24296,1022,954
24497,1021,953
24698,1022,954
24899,1022,955
25100,1022,954
25300,1022,954
25501,1022,954
25702,1022,954
25904,1022,953
26104,1023,954
26305,1022,953
26506,1022,955
26706,1022,954
26907,1022,956
27109,1022,954
27310,1023,953
27510,1023,956
27711,1021,954
27912,1022,954
28112,1021,955
28314,1022,954
28515,1022,954
28716,1022,954
28916,1021,954
29117,1023,954
29318,1023,955
29519,1022,954
29720,1022,954
29921,1022,954
30121,1022,954
30322,1023,955
