Time, Signal
2,101
3,100
4,101
5,102
6,102
7,101
8,101
9,102
10,103
11,103
12,103
13,102
14,102
15,100
16,99
17,99
18,97
19,95
20,93
21,93
22,90
23,91
24,88
25,88
26,87
27,87
28,84
29,83
30,84
31,83
32,81
33,81
34,81
35,80
36,79
37,79
38,78
39,79
40,77
41,78
42,79
43,76
44,78
45,77
46,77
47,77
48,79
49,80
50,84
51,88
52,89
53,93
54,95
55,99
56,101
57,103
58,105
59,107
60,109
61,111
62,113
63,114
64,115
65,116
66,117
67,119
68,120
69,121
70,122
71,124
72,123
73,124
74,126
75,127
76,127
77,128
78,128
79,129
80,130
81,131
82,132
83,133
84,136
85,137
86,138
87,139
88,139
89,142
90,143
91,144
92,145
93,147
94,147
95,148
96,148
97,148
98,149
99,149
100,150
101,150
102,151
103,151
104,152
105,152
106,152
107,154
108,155
109,152
110,154
111,155
112,155
113,153
114,156
115,154
116,156
117,157
118,156
119,156
120,150
121,150
122,151
123,149
124,149
125,149
126,148
127,149
128,147
129,147
130,147
131,146
132,147
133,146
134,146
135,145
136,146
137,147
138,146
139,146
140,146
141,145
142,145
143,145
144,146
145,145
146,147
147,148
148,153
149,158
150,164
151,170
152,174
153,178
154,183
155,186
156,191
157,194
158,196
159,199
160,200
161,202
162,204
163,206
164,206
165,208
166,209
167,211
168,211
169,212
170,214
171,214
172,216
173,215
174,217
175,216
176,218
177,219
178,219
179,218
180,219
181,218
182,217
183,214
184,212
185,212
186,209
187,208
188,206
189,204
190,204
191,203
192,202
193,201
194,200
195,199
196,199
197,198
198,198
199,198
200,196
201,197
202,196
203,196
204,195
205,195
206,195
207,194
208,195
209,195
210,195
211,193
212,194
213,192
214,188
215,184
216,176
217,167
218,159
219,151
220,143
221,136
222,129
223,124
224,119
225,114
226,109
227,105
228,101
229,97
230,93
231,89
232,88
233,86
234,83
235,81
236,77
237,76
238,75
239,72
240,72
241,69
242,70
243,68
244,68
245,65
246,65
247,63
248,62
249,62
250,60
251,58
252,57
253,57
254,55
255,53
256,51
257,52
258,52
259,51
260,50
261,49
262,49
263,48
264,47
265,46
266,45
267,47
268,46
269,46
270,44
271,44
272,44
273,44
274,44
275,43
276,43
277,44
278,41
279,41
280,42
281,42
282,43
283,44
284,46
285,48
286,48
287,51
288,53
289,54
290,55
291,57
292,59
293,61
294,62
295,62
296,64
297,66
298,66
299,68
300,69
301,70
302,71
303,71
304,72
305,72
306,74
307,74
308,75
309,77
310,76
311,78
312,78
313,78
314,78
315,79
316,76
317,76
318,75
319,74
320,74
321,74
322,73
323,72
324,70
325,71
326,71
327,71
328,69
329,69
330,69
331,68
332,67
333,68
334,67
335,66
336,66
337,67
338,65
339,65
340,65
341,64
342,65
343,66
344,64
345,65
346,65
347,65
348,63
349,61
350,61
351,61
352,61
353,59
354,58
355,58
356,56
357,57
358,55
359,54
360,55
361,53
362,53
363,53
364,51
365,52
366,51
367,50
368,50
369,50
370,49
371,49
372,47
373,47
374,49
375,47
376,49
377,47
378,47
379,48
380,47
381,48
382,47
383,48
384,49
385,49
386,51
387,52
388,52
389,53
390,53
391,54
392,57
393,55
394,56
395,57
396,58
397,58
398,60
399,58
400,59
401,60
402,59
403,59
404,61
405,61
406,62
407,62
408,63
409,63
410,63
411,63
412,62
413,64
414,63
415,61
416,62
417,60
418,59
419,58
420,58
421,57
422,55
423,54
424,53
425,54
426,54
427,52
428,51
429,51
430,52
431,51
432,51
433,50
434,49
435,49
436,49
437,49
438,48
439,49
440,47
441,47
442,45
443,47
444,47
445,47
446,45
447,46
448,45
449,46
450,44
451,44
452,44
453,44
454,43
455,43
456,43
457,43
458,43
459,41
460,40
461,41
462,42
463,40
464,40
465,39
466,40
467,40
468,40
469,39
470,39
471,39
472,38
473,39
474,39
475,39
476,39
477,39
478,38
479,38
480,39
481,42
482,44
483,47
484,53
485,59
486,62
487,67
488,71
489,75
490,80
491,83
492,88
493,91
494,95
495,98
496,101
497,104
498,107
499,109
500,111
501,115
502,118
503,118
504,120
505,122
506,125
507,126
508,128
509,130
510,130
511,133
512,132
513,134
514,135
515,139
516,142
517,144
518,149
519,151
520,154
521,157
522,158
523,161
524,162
525,165
526,167
527,168
528,170
529,170
530,171
531,173
532,173
533,175
534,176
535,176
536,177
537,177
538,179
539,180
540,179
541,181
542,182
543,182
544,182
545,183
546,182
547,180
548,176
549,171
550,165
551,158
552,151
553,146
554,141
555,136
556,131
557,127
558,123
559,119
560,117
561,114
562,110
563,107
564,105
565,103
566,99
567,98
568,96
569,94
570,92
571,91
572,91
573,89
574,88
575,87
576,86
577,84
578,83
579,83
580,81
581,81
582,80
583,78
584,77
585,77
586,75
587,74
588,73
589,73
590,72
591,71
592,71
593,70
594,70
595,68
596,68
597,68
598,67
599,66
600,66
601,65
602,65
603,65
604,65
605,62
606,64
607,64
608,63
609,64
610,63
611,61
612,63
613,62
614,63
615,63
616,65
617,67
618,69
619,70
620,72
621,73
622,75
623,76
624,78
625,79
626,81
627,81
628,84
629,84
630,85
631,86
632,87
633,87
634,88
635,87
636,90
637,90
638,91
639,92
640,92
641,93
642,93
643,94
644,94
645,94
646,95
647,95
648,94
649,94
650,92
651,92
652,91
653,90
654,89
655,89
656,88
657,87
658,87
659,87
660,86
661,86
662,85
663,85
664,81
665,83
666,83
667,84
668,82
669,82
670,82
671,81
672,81
673,81
674,81
675,81
676,81
677,81
678,81
679,81
680,80
681,81
682,82
683,83
684,84
685,85
686,85
687,86
688,87
689,87
690,89
691,90
692,91
693,91
694,92
695,92
696,94
697,93
698,93
699,94
700,94
701,95
702,95
703,96
704,97
705,97
706,98
707,97
708,97
709,98
710,98
711,99
712,100
713,98
714,101
715,105
716,108
717,111
718,115
719,117
720,120
721,122
722,125
723,128
724,130
725,132
726,135
727,136
728,138
729,139
730,141
731,141
732,143
733,144
734,145
735,146
736,148
737,148
738,149
739,151
740,150
741,152
742,152
743,153
744,153
745,153
746,153
747,152
748,149
749,146
750,142
751,138
752,133
753,129
754,126
755,123
756,120
757,116
758,114
759,111
760,109
761,107
762,104
763,103
764,100
765,100
766,98
767,97
768,95
769,94
770,93
771,91
772,91
773,90
774,90
775,89
776,88
777,86
778,86
779,86
780,84
781,83
782,81
783,80
784,78
785,76
786,73
787,72
788,69
789,67
790,68
791,67
792,64
793,64
794,62
795,61
796,59
797,59
798,57
799,58
800,58
801,56
802,56
803,55
804,54
805,54
806,52
807,52
808,52
809,51
810,51
811,50
812,51
813,51
814,53
815,55
816,58
817,63
818,67
819,71
820,76
821,80
822,84
823,89
824,92
825,97
826,99
827,103
828,106
829,109
830,111
831,114
832,115
833,117
834,120
835,122
836,124
837,126
838,127
839,128
840,130
841,131
842,133
843,133
844,134
845,135
846,135
847,137
848,142
849,146
850,149
851,153
852,157
853,160
854,163
855,166
856,169
857,171
858,173
859,176
860,177
861,179
862,181
863,183
864,183
865,184
866,185
867,186
868,186
869,188
870,188
871,190
872,191
873,191
874,192
875,193
876,193
877,194
878,194
879,194
880,193
881,190
882,186
883,181
884,176
885,170
886,166
887,160
888,157
889,152
890,149
891,147
892,142
893,141
894,138
895,135
896,132
897,131
898,130
899,128
900,126
901,124
902,123
903,121
904,121
905,119
906,116
907,117
908,116
909,115
910,115
911,114
912,114
913,113
914,111
915,110
916,110
917,106
918,107
919,104
920,103
921,102
922,101
923,101
924,99
925,100
926,98
927,97
928,96
929,96
930,96
931,95
932,93
933,93
934,94
935,92
936,92
937,91
938,92
939,92
940,90
941,90
942,89
943,89
944,89
945,88
946,88
947,88
948,87
949,86
950,85
951,84
952,83
953,83
954,82
955,81
956,81
957,80
958,77
959,79
960,79
961,78
962,77
963,76
964,76
965,75
966,75
967,74
968,74
969,73
970,73
971,73
972,72
973,72
974,71
975,72
976,73
977,71
978,72
979,70
980,70
981,69
982,67
983,65
984,62
985,61
986,59
987,56
988,56
989,53
990,52
991,51
992,49
993,47
994,47
995,45
996,44
997,43
998,42
999,42
1000,42
1001,41
1002,40
1003,40
1004,38
1005,38
1006,39
1007,38
1008,37
1009,37
1010,37
1011,35
1012,35
1013,35
1014,35
1015,35
1016,36
1017,35
1018,35
1019,36
1020,36
1021,36
1022,37
1023,37
