time,signal
0,982
5,991
11,983
16,982
21,989
27,982
32,982
38,985
44,989
50,982
55,982
61,990
66,987
71,982
77,980
82,989
89,982
94,982
100,989
105,990
110,982
116,982
122,982
132,991
141,983
150,989
159,982
169,984
179,990
188,981
197,990
206,982
216,981
225,991
235,981
244,990
253,982
263,985
272,983
281,983
290,990
301,983
310,992
319,982
328,982
337,990
347,984
356,989
365,982
375,980
385,990
394,982
403,992
412,982
421,992
431,981
441,984
450,990
459,981
468,990
478,982
487,981
496,990
506,982
516,990
525,982
534,981
543,990
552,982
562,990
572,983
581,985
590,982
600,982
609,990
618,983
627,989
637,982
647,982
656,991
665,982
674,990
684,982
693,982
703,991
712,981
721,989
731,981
740,984
749,982
758,982
769,990
778,982
787,990
796,981
805,982
815,991
824,982
834,990
843,982
852,982
862,991
871,982
880,990
889,981
900,984
909,982
918,982
927,989
936,981
946,990
955,983
964,982
974,990
984,982
993,989
1002,982
1012,981
1022,990
1034,990
1044,989
1054,990
1064,981
1075,982
1085,983
1095,981
1106,981
1117,982
1127,991
1137,989
1147,989
1158,990
1169,980
1179,982
1189,982
1200,982
1210,984
1220,982
1230,993
1242,991
1252,991
1262,990
1272,984
1283,981
1293,982
1304,980
1314,982
1325,980
1335,989
1345,990
1355,990
1367,992
1377,985
1387,982
1397,981
1408,982
1418,982
1428,981
1439,983
1449,990
1460,990
1470,992
1480,990
1490,982
1502,981
1512,982
1522,981
1532,982
1543,982
1553,991
1563,990
1574,989
1585,990
1595,980
1605,982
1615,982
1626,984
1637,982
1647,983
1657,991
1668,991
1678,990
1688,989
1699,982
1710,982
1720,982
1730,982
1740,982
1751,982
1761,987
1772,989
1782,990
1793,990
1803,981
1813,982
1823,981
1835,982
1845,981
1855,982
1865,983
1875,990
1886,990
1896,990
1907,985
1917,982
1928,982
1938,982
1948,981
1958,982
1970,982
1980,990
1990,989
2000,990
2011,988
2021,982
2032,982
2042,982
2053,981
2063,982
2073,981
2083,991
2094,990
2105,990
2115,992
2125,981
2136,981
2146,981
2156,981
2167,982
2178,982
2188,991
2198,990
2208,989
2219,991
2229,980
2240,982
2250,982
2260,982
2271,982
2281,983
2291,991
2302,989
2313,989
2323,989
2333,984
2343,981
2354,981
2365,982
2375,982
2385,981
2396,987
2406,991
2416,991
2426,989
2438,984
2448,983
2458,983
2468,981
2479,982
2489,981
2500,983
2510,991
2521,989
2531,989
2541,990
2551,981
2562,981
2573,981
2583,981
2593,982
2604,982
2614,990
2624,991
2635,990
2646,990
2656,981
2666,982
2676,982
2686,981
2698,981
2708,982
2718,991
2728,990
2739,989
2749,990
2759,980
2770,981
2781,982
2791,982
2801,980
2811,983
2822,987
2833,990
2843,990
2853,989
2864,981
2874,980
2884,983
2894,981
2906,982
2916,981
2926,983
2936,991
2947,990
2957,990
2968,984
2978,981
2989,983
2999,982
3009,982
3019,982
3031,981
3041,991
3051,991
3061,990
3072,990
3082,982
3092,982
3103,982
3113,982
3124,982
3134,982
3144,990
3154,990
3166,990
3176,990
3186,982
3196,981
3207,982
3217,982
3227,982
3238,983
3249,990
3259,989
3269,990
3279,990
3290,981
3301,983
3311,982
3321,981
3332,982
3342,982
3352,991
3363,990
3374,990
3384,990
3394,985
3404,982
3415,981
3425,981
3436,982
3446,982
3457,989
3467,990
3477,990
3487,989
3499,984
3509,982
3519,982
3529,981
3539,982
3550,982
3560,983
3571,990
3581,990
3592,991
3602,989
3612,981
3622,981
3634,981
3644,982
3654,982
3664,981
3675,989
3685,990
3696,991
3706,990
3717,981
3727,982
3737,983
3747,982
3758,982
3769,982
3779,991
3789,990
3800,991
3810,990
3820,980
3831,982
3842,982
3852,983
3862,982
3872,982
3883,987
3893,990
3904,989
3914,991
3924,981
3935,982
3945,982
3955,981
3966,982
3977,983
3987,983
3997,990
4007,990
4018,989
4029,984
4039,981
4049,982
4060,981
4070,982
4080,982
4090,982
4102,991
4112,990
4122,991
4132,990
4143,981
4153,982
4164,982
4174,983
4185,982
4195,981
4205,990
4215,990
4226,991
4237,989
4247,980
4257,982
4268,981
4278,982
4288,983
4299,981
4310,990
4320,989
4330,991
4340,989
4350,981
4362,981
4372,982
4382,981
4392,982
4403,983
4413,992
4423,989
4434,990
4445,990
4455,984
4465,981
4475,981
4486,982
4497,982
4507,981
4517,987
4528,990
4538,990
4548,989
4558,985
4570,982
4580,982
4590,983
4600,982
4611,982
4621,983
4632,991
4642,990
4653,990
4663,989
4673,982
4683,982
4695,982
4705,982
4715,982
4725,981
4736,991
4746,989
4756,992
4767,989
4777,981
4788,982
4798,981
4808,981
4818,981
4830,982
4840,990
4850,990
4860,991
4871,989
4881,981
4891,981
4902,981
4913,982
4923,982
4933,982
4943,987
4954,990
4965,990
4975,991
4985,982
4996,981
5006,982
5016,982
5027,982
5038,982
5048,987
5058,990
5068,990
5079,989
5089,984
5100,982
5110,981
5121,982
5131,983
5141,982
5151,982
5163,991
5173,990
5183,989
5193,984
5203,981
5214,982
5224,982
5235,981
5245,982
5256,981
5266,991
5276,990
5286,990
5298,989
5308,982
5318,981
5328,982
5339,980
5349,982
5360,982
5370,990
5381,991
5391,989
5401,990
5411,980
5422,982
5433,982
5443,981
5453,982
5464,982
5474,992
5484,990
5495,989
5506,990
5516,984
5526,982
5536,982
5547,982
5557,981
5568,981
5578,988
5588,989
5599,989
5609,990
5619,984
5630,982
5641,981
5651,982
5661,983
5671,981
5682,983
5693,989
5703,990
5713,989
5724,990
5734,981
5744,981
5754,981
5766,982
5776,982
5786,982
5796,989
5807,990
5817,989
5828,989
5838,981
5849,981
5859,981
5869,981
5879,981
5890,984
