time,signal
0,97
5,194
11,292
16,389
22,487
27,584
33,681
38,779
45,876
50,974
56,974
61,974
67,974
72,974
78,974
83,973
90,974
95,974
100,974
106,974
112,974
117,974
123,974
131,974
140,974
149,975
158,975
168,975
178,975
187,975
196,975
205,975
215,975
224,975
234,975
243,975
252,975
262,975
271,975
280,975
289,975
300,974
309,974
318,974
327,974
336,974
346,974
355,974
365,975
374,975
384,975
393,975
402,975
411,975
420,974
431,974
440,974
449,974
458,974
467,974
477,973
486,974
496,974
505,974
515,974
524,974
533,974
542,974
551,974
562,974
571,974
580,974
589,974
599,974
608,974
617,974
627,974
636,974
646,973
655,973
664,973
673,973
683,973
692,973
702,973
711,973
720,973
730,973
739,973
748,973
757,973
768,973
777,974
786,974
795,973
804,973
814,973
823,973
833,974
842,974
851,974
861,974
870,973
879,973
888,973
899,973
908,973
917,973
926,973
935,974
945,974
954,974
964,973
973,973
983,974
992,974
1001,974
1011,973
1021,973
1033,973
1043,972
1053,972
1063,972
1074,973
1084,973
1095,974
1105,974
1116,974
1126,974
1136,974
1146,974
1157,974
1168,974
1178,974
1188,974
1199,974
1209,974
1219,974
1230,974
1241,975
1251,975
1261,975
1271,975
1282,975
1293,975
1303,975
1313,975
1324,975
1334,975
1344,975
1354,974
1366,975
1376,975
1386,974
1396,974
1406,975
1417,975
1428,975
1438,975
1448,975
1459,975
1469,975
1479,975
1489,975
1501,975
1511,975
1521,975
1531,975
1542,975
1552,975
1563,975
1573,975
1584,975
1594,974
1604,974
1614,974
1625,974
1636,974
1646,974
1656,974
1667,974
1677,974
1687,974
1698,974
1709,973
1719,973
1729,973
1739,973
1750,973
1761,973
1771,973
1781,973
1792,973
1802,973
1812,973
1822,973
1833,973
1844,974
1854,974
1864,973
1874,974
1885,974
1896,974
1906,974
1916,974
1927,974
1937,974
1947,974
1958,974
1969,974
1979,974
1989,974
1999,974
2010,974
2020,974
2031,973
2041,973
2052,973
2062,974
2072,973
2082,974
2094,974
2104,974
2114,974
2124,974
2135,974
2145,974
2155,974
2166,974
2177,974
2187,974
2197,974
2207,974
2217,974
2229,974
2239,974
2249,974
2259,974
2270,974
2280,975
2291,975
2301,975
2312,975
2322,974
2332,974
2342,974
2353,974
2364,974
2374,975
2384,975
2395,975
2405,975
2415,975
2426,975
2437,975
2447,975
2457,975
2467,975
2478,975
2488,975
2499,975
2509,975
2520,975
2530,975
2540,975
2550,975
2562,975
2572,975
2582,975
2592,975
2603,975
2613,975
2624,975
2634,975
2644,975
2655,974
2665,974
2675,975
2685,974
2697,974
2707,974
2717,974
2727,974
2738,974
2748,975
2759,974
2769,974
2780,974
2790,974
2800,974
2810,973
2821,973
2832,974
2842,974
2852,973
2863,973
2873,973
2883,973
2894,973
2905,973
2915,974
2925,974
2935,973
2946,974
2957,974
2967,974
2977,974
2988,974
2998,974
3008,974
3018,974
3030,974
3040,974
3050,974
3060,974
3070,974
3081,974
3092,974
3102,974
3112,974
3123,974
3133,974
3143,974
