time, signal
0,102
5,204
11,306
16,408
22,510
27,612
33,714
38,816
45,918
50,1020
56,1020
61,1020
67,1020
72,1020
78,1020
83,1020
90,1020
95,1020
101,1021
107,1020
115,1020
125,1020
136,1020
146,1020
156,1020
167,1020
178,1020
188,1020
198,1020
208,1020
219,1020
230,1020
240,1020
250,1020
261,1020
271,1019
281,1020
291,1020
303,1020
313,1020
323,1020
333,1020
344,1020
354,1020
365,1020
375,1020
386,1020
396,1020
406,1020
416,1019
428,1020
438,1020
448,1020
458,1020
468,1020
479,1020
489,1021
500,1021
510,1021
521,1021
531,1020
541,1020
551,1020
563,1020
573,1020
583,1020
593,1020
604,1020
614,1020
624,1020
635,1020
646,1020
656,1020
666,1020
676,1020
687,1019
698,1020
708,1019
718,1019
729,1019
739,1019
749,1019
759,1019
771,1019
781,1019
791,1019
801,1019
812,1019
822,1019
833,1019
843,1019
854,1019
864,1019
874,1020
884,1020
896,1020
906,1020
916,1020
926,1020
936,1020
947,1020
957,1020
968,1020
978,1020
989,1020
999,1020
1009,1019
1020,1020
1033,1020
1044,1020
1055,1020
1067,1020
1078,1020
1089,1020
1101,1020
1113,1020
1124,1020
1135,1020
1146,1020
1158,1020
1170,1021
1181,1021
1192,1021
1204,1021
1215,1021
1227,1021
1239,1021
1250,1021
1261,1020
1272,1020
1284,1020
1296,1020
1307,1020
1318,1020
1330,1019
1341,1019
1352,1019
1364,1019
1376,1019
1387,1019
1398,1019
1410,1019
1421,1019
1433,1019
1444,1020
1456,1020
1467,1020
1478,1020
1489,1020
1502,1020
1513,1020
1524,1020
1536,1019
1547,1019
1559,1019
1570,1019
1582,1019
1593,1019
1604,1019
1615,1020
1628,1020
1639,1020
1650,1020
1661,1020
1673,1020
1684,1020
1696,1020
1708,1020
1719,1019
1730,1019
1741,1019
1753,1020
1765,1020
1776,1020
1787,1020
1799,1020
1810,1020
1821,1020
1833,1020
1845,1020
1856,1020
1867,1020
1879,1020
1890,1020
1902,1020
1913,1020
1925,1020
1936,1020
1947,1020
1959,1020
1971,1020
1982,1020
1993,1020
2004,1020
2016,1020
2028,1020
2039,1019
2051,1019
2062,1019
2073,1019
2084,1019
2097,1019
2108,1019
2119,1019
2130,1019
2142,1019
2153,1019
2165,1019
2177,1019
2188,1019
2199,1019
2210,1019
2222,1019
2234,1019
2245,1019
2256,1019
2268,1019
2279,1020
2291,1020
2302,1020
2314,1020
2325,1020
2336,1020
2348,1020
2360,1020
2371,1020
2382,1020
2394,1020
2405,1020
2416,1020
2428,1020
2440,1020
2451,1020
2462,1020
2473,1020
2485,1020
2497,1019
2508,1019
2520,1019
2531,1019
2542,1019
2553,1019
2566,1019
2577,1019
2588,1019
2599,1019
2611,1020
2623,1020
2634,1020
2646,1019
2657,1019
2668,1019
2679,1020
2692,1019
2703,1019
2714,1019
2725,1019
2737,1019
2748,1019
2760,1020
2771,1020
2783,1020
2794,1020
2805,1020
2817,1020
2829,1021
2840,1021
2851,1020
2863,1020
2874,1020
2885,1020
2897,1020
2909,1019
2920,1020
2931,1019
2942,1019
2954,1019
2966,1020
2977,1020
2989,1019
3000,1019
3011,1019
3023,1019
3035,1020
3046,1020
3057,1020
3068,1019
3080,1019
3092,1020
3103,1020
3115,1020
3126,1020
3137,1020
3148,1020
3161,1020
3172,1020
3183,1020
3194,1020
3206,1020
3217,1020
3229,1020
3240,1020
3252,1020
3263,1020
3274,1020
3286,1020
3298,1020
3309,1020
3320,1020
3332,1020
3343,1020
3354,1020
3366,1020
3378,1020
3389,1020
3400,1019
3411,1019
3424,1019
3435,1019
3446,1020
3458,1020
3469,1020
3480,1020
3492,1019
3504,1020
3515,1020
3526,1020
3537,1020
3549,1020
3561,1020
3572,1020
3584,1020
3595,1020
3606,1020
3617,1020
3630,1020
3641,1020
3652,1020
3663,1020
3675,1019
3686,1019
3698,1019
3709,1019
3721,1020
3732,1020
3743,1020
3756,1020
3767,1020
3778,1020
3789,1020
3801,1020
3812,1020
3824,1020
3835,1020
3847,1020
3858,1020
3869,1020
3880,1020
3893,1019
3904,1019
3915,1019
3927,1019
3938,1019
3949,1019
3961,1019
3973,1019
3984,1019
3995,1019
4006,1020
4018,1019
4030,1019
4041,1019
4052,1019
4064,1019
4075,1020
4087,1020
4099,1020
4110,1019
4121,1019
4132,1020
4144,1020
4156,1020
4167,1020
4178,1020
4190,1020
4201,1020
4212,1020
4225,1020
4236,1020
4247,1020
4258,1020
4270,1020
4281,1020
4293,1020
4304,1020
4316,1020
4327,1019
4338,1019
4349,1020
4362,1020
4373,1020
4384,1020
4396,1020
4407,1020
4418,1020
4430,1020
4442,1020
4453,1020
4464,1020
4475,1020
4488,1020
4499,1021
4510,1021
4521,1021
4533,1021
4544,1020
4556,1020
4568,1020
4579,1020
4590,1020
4601,1020
4613,1020
4625,1020
4636,1020
4647,1020
4659,1020
4670,1021
4681,1021
4694,1021
4705,1020
4716,1020
4727,1020
4739,1020
4750,1020
4762,1020
4773,1019
4785,1019
4796,1020
4807,1019
4818,1019
4831,1020
4842,1020
4853,1020
4865,1020
4876,1020
4888,1020
4899,1020
4911,1020
4922,1020
4933,1020
4944,1020
4957,1020
4968,1020
4979,1020
4990,1020
5002,1020
5013,1020
5025,1020
5037,1020
5048,1020
5059,1020
5070,1020
5082,1020
5094,1020
5105,1020
5116,1020
5128,1020
5139,1020
5150,1020
5163,1020
5174,1020
5185,1020
5196,1020
5208,1020
5220,1020
5231,1020
5242,1020
5254,1020
5265,1020
5276,1020
5288,1020
5300,1020
5311,1020
5322,1020
5334,1020
5345,1020
5357,1020
5368,1020
5380,1020
5391,1020
5402,1020
5413,1019
5426,1019
5437,1019
5448,1020
5459,1020
5471,1020
5482,1020
5494,1020
5506,1020
5517,1020
5528,1020
5539,1020
5552,1020
5563,1020
5574,1020
5585,1020
5597,1020
5608,1020
5620,1020
5632,1020
5643,1020
5654,1020
5665,1020
5677,1020
5689,1020
5700,1020
5711,1020
5723,1020
5734,1019
5745,1019
5757,1019
5769,1019
5780,1019
5791,1020
5803,1020
5814,1020
5826,1019
5837,1019
5849,1019
5860,1019
5871,1019
5882,1019
5895,1019
5906,1019
5917,1019
5928,1019
5940,1020
5952,1020
5963,1020
5975,1020
5986,1020
5997,1020
6008,1020
6021,1020
6032,1019
6043,1019
6054,1019
6066,1020
6077,1020
6089,1019
6100,1019
6112,1019
6123,1019
6134,1019
6146,1020
6158,1020
6169,1020
6180,1019
6192,1019
6203,1019
6214,1019
6226,1020
6238,1020
6249,1020
6260,1020
6272,1020
6284,1020
6295,1020
6306,1020
6318,1020
6329,1020
6340,1020
6352,1020
6364,1020
6375,1020
6386,1019
6397,1020
6409,1020
6421,1020
6432,1020
6444,1020
6455,1020
6466,1020
6477,1020
6490,1020
6501,1020
6512,1020
6523,1020
6535,1020
6546,1020
6558,1020
6569,1020
6581,1020
6592,1020
6603,1020
6615,1020
6627,1020
6638,1020
6649,1020
6661,1020
6672,1020
6684,1020
6695,1020
6707,1020
6718,1021
6729,1020
6740,1020
6753,1021
6764,1021
6775,1021
6787,1020
6798,1020
6809,1020
6821,1020
6833,1020
6844,1019
6855,1019
6866,1019
6878,1019
6890,1019
6901,1020
6913,1020
6924,1020
6935,1020
6946,1020
6959,1020
6970,1020
6981,1020
6992,1020
7004,1020
7015,1020
7027,1020
7038,1020
7050,1020
7061,1020
7072,1020
7085,1020
7096,1020
7107,1020
7118,1020
7130,1020
7141,1020
7153,1020
7164,1020
7176,1020
7187,1020
7198,1020
7209,1020
7222,1020
7233,1020
7244,1020
7256,1019
7267,1019
7278,1020
7290,1020
7302,1019
7313,1019
7324,1019
7335,1019
7347,1019
7359,1019
7370,1019
7382,1019
7393,1019
7404,1019
7416,1019
