time,signal
0,1020
5,1022
11,1020
16,1020
22,1021
27,1021
33,1019
38,1019
45,1020
50,1022
55,1020
61,1020
66,1021
72,1021
77,1018
83,1018
89,1020
95,1023
104,1021
114,1021
124,1020
135,1020
145,1020
155,1022
165,1021
177,1020
187,1020
197,1022
207,1021
218,1020
228,1020
239,1020
249,1020
260,1020
270,1022
280,1021
290,1021
302,1020
312,1020
322,1020
332,1021
343,1019
353,1020
363,1020
374,1023
385,1019
395,1023
405,1021
415,1021
425,1020
437,1019
447,1020
457,1019
467,1020
478,1020
488,1022
498,1021
509,1022
520,1020
530,1013
540,1019
550,1021
561,1020
572,1019
582,1020
592,1020
603,1023
613,1020
623,1020
634,1020
645,1020
655,1019
665,1020
675,1019
686,1019
696,1021
707,1023
717,1022
728,1021
738,1020
748,1019
758,1020
770,1020
780,1019
790,1019
800,1020
811,1020
821,1021
831,1020
842,1022
852,1021
863,1020
873,1019
883,1019
893,1020
905,1020
915,1020
925,1021
935,1020
946,1014
956,1019
967,1020
977,1020
988,1020
998,1019
1008,1020
1019,1020
1031,1021
1043,1020
1054,1019
1065,1020
1077,1020
1088,1022
1100,1022
1112,1020
1123,1021
1134,1019
1145,1021
1157,1022
1169,1020
1180,1021
1191,1019
1203,1020
1214,1022
1225,1015
1238,1021
1249,1019
1260,1020
1271,1023
1283,1014
1294,1020
1306,1019
1317,1020
1329,1022
1340,1019
1351,1020
1362,1020
1375,1020
1386,1021
1397,1019
1409,1020
1420,1022
1432,1020
1443,1020
1455,1021
1466,1020
1477,1020
1488,1017
1501,1021
1512,1020
1523,1021
1534,1021
1546,1020
1557,1020
1569,1020
1581,1022
1592,1019
1603,1020
1614,1022
1626,1020
1638,1020
1649,1021
1660,1020
1672,1021
1683,1019
1694,1020
1707,1019
1718,1020
1729,1021
1740,1020
1752,1021
1763,1020
1775,1019
1786,1021
1798,1020
1809,1020
1820,1022
1832,1019
1844,1014
1855,1020
1866,1020
1878,1023
1889,1020
1901,1019
1912,1020
1924,1019
1935,1020
1946,1020
1957,1019
1970,1019
1981,1020
1992,1020
2003,1020
2015,1019
2026,1021
2038,1020
2050,1021
2061,1020
2072,1020
2083,1021
2095,1022
2107,1021
2118,1021
2129,1019
2141,1021
2152,1020
2163,1020
2176,1022
2187,1020
2198,1021
2209,1020
2221,1020
2233,1022
2244,1020
2255,1020
2267,1020
2278,1020
2289,1020
2301,1021
2313,1020
2324,1020
2335,1020
2347,1022
2358,1019
2370,1019
2381,1022
2393,1022
2404,1022
2415,1019
2426,1021
2439,1023
2450,1019
2461,1021
2472,1020
2484,1020
2495,1023
2507,1019
2519,1021
2530,1021
2541,1020
2552,1022
2565,1020
2576,1020
2587,1020
2598,1015
2610,1022
2621,1020
2633,1023
2644,1022
2656,1020
2667,1023
2678,1019
2690,1020
2702,1019
2713,1020
2724,1022
2736,1020
2747,1022
2758,1020
2770,1021
2782,1021
2793,1020
2804,1019
2816,1020
2827,1019
2839,1020
2850,1020
2862,1020
2873,1020
2884,1020
2896,1020
2908,1019
2919,1020
2930,1022
2941,1020
2953,1020
2965,1021
2976,1020
2988,1023
2999,1020
3010,1020
3021,1019
3034,1020
3045,1022
3056,1019
3067,1020
3079,1020
3090,1020
3102,1021
3113,1020
3125,1016
3136,1020
3147,1020
3159,1022
3171,1019
3182,1015

3193,1022
3205,1019
3216,1022
3227,1020
3239,1014
3251,1020
3262,1020
3273,1020
3284,1019
3297,1014
3308,1020
3319,1020
3331,1020
3342,1023
3353,1019
3365,1020
3377,1020
3388,1020
3399,1022
3410,1020
3422,1021
3434,1019
3445,1019
3457,1021
3468,1019
3479,1020
3490,1022
3503,1022
3514,1021
3525,1020
3536,1022
3548,1019
3559,1015
3571,1021
3582,1020
3594,1021
3605,1019
3616,1020
3628,1023
3640,1020
3651,1021
3662,1020
3674,1020
3685,1020
3697,1021
3708,1014
3720,1020
3731,1020
3742,1022
3753,1018
3766,1020
3777,1020
3788,1019
3800,1020
3811,1020
3822,1020
3834,1019
3846,1019
3857,1019
3868,1022
3879,1019
3891,1023
3903,1020
3914,1017
3926,1020
3937,1019
3948,1021
3959,1020
3972,1018
3983,1020
3994,1020
4005,1023
4017,1020
4029,1019
4040,1020
4051,1020
4063,1020
4074,1019
4085,1019
4098,1023
4109,1021
4120,1020
4131,1021
4143,1020
4154,1022
4166,1020
4177,1020
4189,1020
4200,1020
4211,1020
4222,1021
4235,1021
4246,1020
4257,1019
4269,1021
4280,1021
4291,1022
4303,1021
4315,1020
4326,1021
4337,1022
4348,1021
4361,1021
4372,1022
