Time,Signal
0,1017
5,1019
11,1018
16,1018
22,1018
27,1021
33,1017
38,1018
45,1019
50,1020
55,1018
61,1016
66,1021
72,1021
77,1018
83,1017
89,1019
95,1021
104,1019
114,1016
124,1017
135,1017
145,1018
155,1018
165,1021
177,1019
187,1019
197,1018
207,1019
218,1020
228,1017
239,1018
249,1018
260,1017
270,1020
280,1019
290,1020
301,1018
312,1020
322,1020
332,1017
343,1018
353,1017
363,1017
374,1023
385,1019
395,1019
405,1020
415,1018
425,1020
437,1018
447,1019
457,1017
467,1018
478,1018
488,1020
498,1020
509,1019
520,1019
530,1013
540,1017
550,1017
561,1018
572,1017
582,1017
592,1017
603,1020
613,1019
623,1020
633,1017
645,1017
655,1019
665,1019
675,1018
686,1018
696,1018
707,1017
717,1019
728,1020
738,1016
748,1017
758,1018
770,1018
780,1018
790,1018
800,1017
811,1018
821,1021
831,1019
842,1017
852,1018
863,1018
873,1017
883,1017
893,1018
905,1017
915,1017
925,1019
935,1020
946,1013
956,1017
966,1018
977,1018
988,1018
998,1018
1008,1017
1019,1017
1031,1019
1043,1018
1054,1019
1065,1018
1077,1018
1088,1019
1099,1018
1112,1019
1123,1023
1134,1017
1145,1019
1157,1017
1169,1019
1180,1019
1191,1018
1203,1018
1214,1018
1225,1020
1238,1020
1249,1018
1260,1019
1271,1018
1283,1013
1294,1020
1306,1018
1317,1019
1329,1021
1340,1017
1351,1019
1362,1018
1375,1019
1386,1019
1397,1017
1409,1019
1420,1017
1431,1019
1443,1019
1455,1019
1466,1018
1477,1018
1488,1013
1501,1020
1512,1018
1523,1019
1534,1016
1546,1017
1557,1021
1569,1018
1581,1019
1592,1018
1603,1017
1614,1019
1626,1017
1638,1019
1649,1017
1660,1017
1672,1019
1683,1018
1694,1016
1707,1017
1718,1018
1729,1020
1740,1018
1752,1017
1763,1017
1775,1018
1786,1019
1798,1018
1809,1018
1820,1018
1831,1018
1844,1014
1855,1017
1866,1018
1878,1023
1889,1018
1901,1017
1912,1017
1924,1018
1935,1019
1946,1018
1957,1017
1970,1018
1981,1018
1992,1019
2003,1018
2015,1017
2026,1018
2038,1018
2050,1018
2061,1018
2072,1016
2083,1020
2095,1017
2107,1022
2118,1018
2129,1017
2141,1020
2152,1018
2163,1018
2176,1017
2187,1017
2198,1019
2209,1017
2221,1017
2233,1023
2244,1017
2255,1019
2267,1017
2278,1019
2289,1019
2301,1017
2313,1018
2324,1017
2335,1019
2347,1018
2358,1017
2370,1019
2381,1017
2393,1019
2404,1019
2415,1017
2426,1019
2439,1019
2450,1016
2461,1020
2472,1017
2484,1021
2495,1023
2507,1017
2519,1019
2530,1017
2541,1020
2552,1023
2564,1017
2576,1019
2587,1017
2598,1014
2610,1019
2621,1018
2633,1021
2644,1017
2656,1017
2667,1023
2678,1018
2690,1019
2702,1018
2713,1019
2724,1021
2736,1017
2747,1020
2758,1018
2770,1019
2782,1021
2793,1018
2804,1016
2816,1017
2827,1018
2839,1020
2850,1017
2862,1017
2873,1020
2884,1018
2895,1019
2908,1018
2919,1017
2930,1017
2941,1018
2953,1019
2965,1018
2976,1018
2988,1019
2999,1017
3010,1020
3021,1018
3034,1018
3045,1020
3056,1018
3067,1020
3079,1018
3090,1017
3102,1019
3113,1019
3125,1016
3136,1018
3147,1018
3159,1019
3171,1017
3182,1016
3193,1019
3205,1017
3216,1019
3227,1019
3239,1014
3251,1020
3262,1018
3273,1019
3284,1018
3296,1013
3308,1019
3319,1017
3331,1019
3342,1023
3353,1016
3365,1019
3377,1017
3388,1019
3399,1022
3410,1017
3422,1021
3434,1018
3445,1020
3457,1019
3468,1017
3479,1019
3490,1017
3503,1019
3514,1019
3525,1017
3536,1020
3548,1018
3559,1013
3571,1020
3582,1017
3594,1019
3605,1018
3616,1017
3628,1019
3640,1018
3651,1019
3662,1017
3674,1018
3685,1019
3697,1018
3708,1014
3720,1018
3731,1017
3742,1018
3753,1018
3766,1016
3777,1018
3788,1017
3800,1019
3811,1016
3822,1017
3834,1018
3846,1017
3857,1019
3868,1019
3879,1018
3891,1023
3903,1017
3914,1013
3926,1017
3937,1017
3948,1020
3959,1018
3972,1016
3983,1018
3994,1017
4005,1020
4017,1018
4028,1017
4040,1018
4051,1018
4063,1019
4074,1016
4085,1018
4098,1018
4109,1017
4120,1019
4131,1017
4143,1017
4154,1020
4166,1018
4177,1021
4189,1020
4200,1017
4211,1019
4222,1019
4235,1019
4246,1018
4257,1017
4269,1019
4280,1018
4291,1020
4303,1021
4315,1017
4326,1019
4337,1018
4348,1018
4360,1020
4372,1018
4383,1019
4395,1020
