
time,signal
0,1023
1,1016
2,1011
4,1015
5,1019
6,1021
8,1022
9,1022
11,1022
12,1011
18,993
26,1023
35,1003
46,1009
55,1013
64,1002
73,1020
82,999
91,1021
100,998
110,1023
120,1009
131,1004
141,1020
151,993
160,1016
171,1014
182,1001
192,1020
202,1002
212,1006
223,1019
233,997
243,1023
253,1009
264,1001
274,1019
284,993
293,1018
304,1014
315,1001
325,1022
335,1003
346,1005
356,1018
366,998
376,1023
387,1009
397,1003
407,1019
417,992
427,1017
437,1014
448,1000
458,1022
468,1003
479,1006
489,1019
499,998
509,1023
520,1010
530,1002
540,1019
550,992
560,1016
570,1014
581,1001
591,1021
602,1002
612,1005
622,1018
632,998
643,1023
653,1009
663,1003
673,1020
684,994
693,1017
703,1014
714,1001
724,1021
735,1002
745,1006
755,1019
765,997
776,1023
786,1009
796,1003
806,1021
817,992
826,1016
836,1014
847,1001
858,1022
868,1003
878,1006
888,1019
899,998
909,1023
919,1008
929,1003
940,1020
950,993
959,1016
969,1014
980,1001
991,1022
1001,1003
1012,1002
1024,1022
1035,1010
1047,1001
1058,1023
1070,1013
1081,1000
1092,1017
1103,1017
1116,998
1126,1017
1137,1017
1148,998
1159,1017
1170,1017
1182,998
1192,1016
1204,1016
1215,998
1225,1017
1236,1018
1249,999
1259,1017
1270,1017
1282,998
1292,1017
1303,1016
1315,997
1326,1017
1337,1017
1348,998
1358,1017
1370,1017
1382,997
1392,1016
1403,1017
1415,997
1425,1018
1436,1017
1448,998
1459,1016
1470,1017
1481,998
1491,1017
1503,1016
1515,998
1525,1016
1537,1016
1548,998
1558,1016
1569,1016
1582,997
1592,1017
1603,1017
1614,998
1625,1017
1636,1017
1648,997
1658,1017
1670,1017
1681,999
1691,1017
1702,1017
1715,999
1725,1016
1736,1016
1747,998
1758,1016
1769,1017
1781,998
1792,1017
1803,1017
1814,999
1824,1017
1836,1017
1848,998
1858,1016
1869,1018
1881,997
1891,1017
1902,1017
1914,997
1925,1017
1936,1017
1947,998
1957,1017
1969,1016
1981,998
1991,1017
2002,1017
2014,998
2024,1018
2035,1017
2048,997
2058,1017
2069,1017
2080,999
2091,1018
2102,1017
2114,998
2124,1016
2136,1016
2147,998
