time,signal
0,949
1,826
2,920
4,981
5,1004
6,1014
8,1019
9,1021
10,904
12,798
13,739
20,960
28,780
36,960
46,781
54,959
62,781
70,959
78,780
87,959
95,780
103,959
113,740
122,1003
133,683
142,1019
152,905
161,780
171,988
181,713
190,1011
200,674
209,942
219,905
228,781
237,988
247,713
257,1011
267,674
276,944
285,905
294,781
304,988
314,713
323,1009
333,674
343,944
352,904
361,781
370,987
380,714
390,1011
400,675
409,944
418,906
428,781
437,987
447,713
456,1011
466,675
476,944
485,905
494,781
503,988
514,714
523,1011
533,674
542,944
551,905
561,781
570,988
580,713
589,1011
600,675
609,944
618,905
627,781
636,988
647,712
656,1011
666,675
675,944
685,906
694,781
703,987
713,713
722,1011
733,675
742,943
751,905
760,781
770,988
780,714
789,1011
799,675
808,943
818,905
827,780
836,988
846,713
856,1011
866,675
875,944
884,905
893,780
903,988
913,714
922,1010
932,675
942,943
951,905
960,780
969,987
979,713
989,1011
999,675
1008,944
1018,960
1029,714
1039,1014
1051,905
1061,740
1072,1011
1083,792
1093,780
1103,1003
1116,675
1126,843
1136,987
1146,695
1157,1018
1168,960
1179,714
1189,1015
1201,905
1211,740
1221,1010
1232,793
1244,781
1254,1003
1265,675
1275,843
1286,988
1296,695
1307,1019
1318,960
1329,713
1339,1016
1350,906
1360,740
1371,1011
1383,794
1393,781
1403,1003
1415,674
1425,843
1435,988
1446,695
1457,1019
1468,959
1478,714
1488,1016
1500,905
1511,740
1521,1010
1532,793
1543,781
1553,1004
1564,675
1575,844
1586,988
1596,696
1606,1018
1617,960
1628,713
1638,1015
1650,905
1660,740
1671,1011
1682,792
1692,781
1702,1003
1715,674
1725,843
1735,988
1745,695
1756,1018
1767,960
1778,713
1788,1015
1800,905
1810,741
1820,1010
1831,792
1843,781
1853,1003
1864,674
1874,844
1885,988
1895,695
1906,1018
1917,959
1928,714
1938,1016
1949,905
1959,740
1970,1011
1982,793
1992,781
2002,1003
2014,675
2024,844
2034,988
2045,695
2056,1018
2067,959
2077,713
2087,1015
2099,906
2110,739
2120,1011
2131,793
2142,781
2152,1002
2163,674
2174,844
2185,988
2195,696
2205,1018
2216,959
2227,714
2237,1015
2249,904
2259,741
2270,1011
2281,793
2291,781
2301,1003
2314,675
2324,844
2334,988
2344,695
2355,1018
2366,960
2377,714
2387,1015
2399,905
2409,740
2419,1011
2430,792
2442,781
2452,1003
2463,675
2473,844
2484,987
2494,696
2505,1018
2516,959
2527,713
2537,1016
2548,905
2558,740
2569,1011
2581,793
2591,781
2601,1003
2613,674
2623,843
2633,988
2644,695
2655,1018
2666,959
2676,713
2686,1016
2698,905
2709,740
2719,1010
2731,792
2741,781
2751,1003
2762,674
2774,843
2784,987
2794,695
2804,1019
2816,959
2826,714
2836,1015
2848,905
2859,740
2869,1011
2880,792
2890,781
2900,1002
2913,675
2923,843
2933,987
2944,695
2954,1018
2965,960
2976,713
2987,1016
2998,905
3008,740
3018,1010
3030,793
3041,782
3051,1003
3062,675
3073,844
3083,988
3093,695
3104,1018
3116,959
3126,713
3136,1015
3147,905
3158,740
3168,1010
3180,792
3190,780
3201,1003
3212,675
3222,843
3232,988
3244,695
3254,1018
3265,960
3275,713
3286,1015
3297,905
3308,740
3318,1011
3330,793
3340,781
3350,1002
3361,674
3373,844
3383,988
3393,695
3403,1018
3415,959
3425,714
3435,1016
3447,905
3458,739
3468,1011
3479,792
3489,780
3500,1003
3512,675
3522,844
3532,988
3543,696
3553,1018
3564,960
3575,713
3586,1015
3597,905
3607,741
3617,1011
3629,792
3640,781
3650,1003
3661,675
3672,844
3682,987
3692,695
3703,1019
3715,960
3725,714
3735,1015
3746,905
3757,739
3767,1011
3779,793
3789,781
3800,1002
3811,676
3821,844
3831,988
3843,695
3853,1018
3864,960
3874,713
3885,1016
3896,905
3907,739
3917,1010
3929,792
3939,781
3949,1003
3960,674
3972,844
3982,988
3992,694
4002,1018
4014,959
4024,713
4034,1016
4046,906
4057,740
4067,1011
4078,792
4088,780
4099,1003
4111,675
4121,844
4131,988
4142,696
4152,1019
4163,959
4174,713
4185,1016
4196,905
4206,741
4216,1011
4228,792
4239,780
4249,1003
4260,674
