time,signal
0,97
5,196
11,294
16,391
22,490
27,588
33,686
38,784
45,883
50,981
56,981
61,980
67,981
72,982
78,981
83,980
90,981
95,982
100,981
106,980
112,981
117,982
123,982
131,981
140,982
149,982
158,982
168,982
178,982
187,983
196,982
205,982
215,982
224,982
234,982
243,982
252,982
262,981
271,982
280,982
289,982
300,982
309,981
318,982
327,982
336,982
346,982
355,981
365,982
374,982
384,982
393,982
402,982
411,982
420,981
431,981
440,981
449,981
458,981
467,980
477,980
486,980
496,980
505,980
515,981
524,981
533,981
542,980
551,980
562,980
571,981
580,980
589,980
599,980
608,980
617,980
627,980
636,980
646,979
655,979
664,980
673,980
683,980
692,978
702,978
711,979
720,979
730,979
739,979
748,979
757,978
768,977
777,978
786,978
795,978
804,977
814,977
823,978
833,978
842,978
851,978
861,978
870,978
879,978
888,979
899,979
908,979
917,978
926,978
935,979
945,979
954,979
964,978
973,978
983,979
992,979
1001,979
1011,978
1021,978
1033,978
1043,978
1053,978
1063,978
1074,979
1084,979
1095,980
1105,980
1116,980
1126,980
1136,980
1146,980
1157,980
1168,980
1178,980
1188,980
1199,980
1209,981
1219,981
1230,982
1241,982
1251,982
1261,982
1271,982
1282,982
1293,982
1303,982
1313,982
1324,982
1334,981
1344,981
1354,982
1366,982
1376,981
1386,981
1396,982
1406,982
1417,981
1428,981
1438,981
1448,981
1459,981
1469,981
1479,981
1489,981
1501,981
1511,981
1521,981
1531,981
1542,981
1552,981
1563,981
1573,981
1584,981
1594,980
1604,980
1614,980
1625,980
1636,980
1646,980
1656,980
1667,980
1677,980
1687,980
1698,980
1709,979
1719,979
1729,979
1739,978
1750,978
1761,978
1771,978
1781,978
1792,978
1802,978
1812,978
1822,978
1833,979
1844,979
1854,979
1864,979
1874,979
1885,979
1896,979
1906,978
1916,978
1927,978
1937,978
1947,979
1958,979
1969,979
1979,979
1989,979
1999,979
2010,980
2020,979
2031,979
2041,979
2052,979
2062,979
2072,980
2082,979
2094,979
2104,979
2114,980
2124,980
2135,980
2145,980
2155,980
2166,980
2177,980
2187,980
2197,980
2207,980
2217,980
2229,980
2239,980
2249,980
2259,980
2270,980
2280,981
2291,981
2301,981
2312,981
2322,981
2332,981
2342,981
2353,981
2364,981
2374,981
2384,981
2395,981
2405,981
2415,981
2426,981
2437,981
2447,982
2457,982
2467,982
2478,982
2488,982
2499,982
2509,982
2520,982
2530,982
2540,981
2550,981
2562,981
2572,981
2582,981
2592,982
2603,982
2613,981
2624,981
2634,981
2644,982
2655,981
2665,981
2675,981
2685,981
2697,980
2707,980
2717,980
2727,980
2738,980
2748,980
2759,980
2769,979
2780,979
2790,979
2800,978
2810,978
2821,978
2832,978
2842,978
2852,978
2863,978
2873,978
2883,978
2894,979
2905,979
2915,979
2925,979
2935,979
2946,978
2957,978
2967,978
2977,978
2988,979
2998,978
3008,979
3018,979
3030,980
