time, signal 
0,195
5,392
11,587
16,782
22,979
27,981
33,979
38,979
45,981
50,982
56,980
61,980
67,982
72,982
78,980
83,980
90,982
95,982
101,980
106,980
112,982
117,982
123,981
132,983
141,983
150,983
159,982
169,980
179,981
188,981
197,981
206,980
216,982
225,982
235,982
244,982
253,982
263,982
272,982
281,982
290,982
301,982
310,982
319,982
328,982
337,981
347,982
356,982
366,980
375,981
385,981
394,981
403,981
412,981
421,982
432,983
441,983
450,983
459,983
468,982
478,980
487,980
497,979
506,979
516,979
525,979
534,979
543,980
552,981
563,981
572,981
581,981
590,978
600,978
609,978
618,978
628,979
637,979
647,979
656,979
665,979
674,980
684,980
694,980
703,978
712,978
721,978
731,978
740,978
749,978
758,978
769,978
778,978
787,978
796,978
805,978
815,978
824,978
834,979
843,979
852,979
862,977
871,976
880,978
889,978
900,978
909,978
918,978
927,978
936,978
946,978
955,977
965,978
974,977
984,977
993,979
1002,979
1012,979
1022,980
1034,982
1044,982
1054,983
1064,982
1075,980
1085,979
1096,976
1106,975
1117,977
1127,978
1137,980
1147,982
1158,984
1169,984
1179,983
1189,981
1200,979
1210,977
1220,978
1231,980
1242,981
1252,984
1262,985
1272,985
1283,983
1294,981
1304,979
1314,978
1325,978
1335,980
1345,982
1355,984
1367,985
1377,985
1387,983
1397,981
1408,979
1418,978
1429,976
1439,979
1449,981
1460,982
1470,984
1480,986
1490,984
1502,982
1512,980
1522,978
1532,976
1543,978
1553,980
1564,981
1574,983
1585,985
1595,984
1605,982
1615,980
1627,978
1637,976
1647,976
1657,977
1668,979
1678,981
1688,981
1699,981
1710,980
1720,978
1730,977
1740,976
1751,976
1762,976
1772,978
1782,980
1793,980
1803,980
1813,980
1823,978
1835,976
1845,976
1855,976
1865,976
1875,978
1886,980
1897,980
1907,980
1917,980
1928,977
1938,976
1948,976
1959,976
1970,976
1980,979
1990,981
2000,983
2011,982
2021,982
2032,980
2042,978
2053,975
2063,975
2073,976
2083,978
2095,980
2105,982
2115,984
2125,984
2136,982
2146,980
2156,978
2167,976
2178,977
2188,979
2198,981
2208,983
2219,985
2230,984
2240,982
2250,980
2260,979
2271,977
2281,978
2292,980
2302,982
2313,984
2323,986
2333,985
2343,983
2354,981
2365,980
2375,978
2385,978
2396,980
2406,982
2416,984
2427,986
2438,985
2448,984
2458,982
2468,980
2479,978
2489,976
2500,978
2510,980
2521,981
2531,984
2541,985
2551,983
2563,982
2573,980
2583,978
2593,976
2604,977
2614,979
2625,981
2635,983
2646,984
2656,983
2666,981
2676,980
2686,977
2698,977
2708,976
2718,978
2728,979
2739,981
2749,980
2760,980
2770,979
2781,977
2791,976
2801,976
2811,976
2822,976
2833,978
2843,980
2853,980
2864,980
2874,980
2884,978
2895,975
2906,976
2916,976
2926,976
2936,978
2947,980
2958,979
2968,979
2978,979
2989,977
2999,975
3009,976
3019,976
3031,975
3041,978
3051,979
3061,981
3072,981
3082,982
3093,980
3103,978
3113,976
3124,976
3134,976
3144,978
3154,980
3166,982
3176,984
3186,984
3196,982
3207,980
3217,977
3228,976
3238,977
3249,979
3259,981
3269,983
3279,985
3291,985
3301,983
3311,982
3321,980
3332,978
3342,978
3352,980
3363,982
3374,984
3384,985
3394,985
3404,983
3415,982
3426,979
3436,978
3446,978
3457,980
3467,982
3477,984
3488,986
3499,985
3509,983
3519,981
3529,979
3539,977
3550,976
3561,978
3571,980
3581,981
3592,984
3602,985
3612,983
3623,981
3634,979
3644,978
3654,976
3664,976
3675,977
3685,980
3696,982
3706,982
3717,983
3727,981
3737,979
3747,977
3759,976
3769,976
3779,977
3789,979
3800,980
3810,980
3820,980
3831,980
3842,978
3852,976
3862,976
3872,976
3883,976
3894,979
3904,981
3914,981
3924,981
3935,980
3945,978
3956,976
3966,976
3977,976
3987,976
3997,978
4007,980
4018,981
4029,982
4039,982
4049,979
4060,977
4070,976
4080,976
4091,976
4102,978
4112,979
4122,981
4132,981
4143,981
4153,980
4164,978
4174,976
4185,976
4195,977
4205,979
4215,981
4227,982
4237,984
4247,984
4257,982
4268,980
4278,978
4289,976
4299,979
4310,980
4320,982
4330,984
4340,986
4350,985
4362,984
4372,982
4382,980
4392,978
4403,978
4413,980
4424,982
4434,984
4445,986
4455,985
4465,983
4475,981
4487,979
4497,977
4507,978
4517,980
4528,982
4538,984
4548,986
4559,986
4570,984
4580,983
4590,981
4600,978
4611,976
4622,978
4632,980
4642,982
4653,984
4663,986
4673,983
4683,982
4695,980
4705,978
4715,976
4725,977
4736,978
4746,980
4757,983
4767,983
4777,983
4788,981
4798,979
4808,976
4818,975
4830,975
4840,977
4850,979
4860,981
4871,981
4881,981
4892,980
4902,977
4913,975
4923,976
4933,975
4943,976
4955,978
4965,980
4975,980
4985,981
4996,981
5006,978
5016,977
5027,977
5038,976
5048,976
5058,978
5068,980
5079,981
5090,980
5100,981
5110,979
5121,976
5131,976
5141,976
5151,976
5163,978
5173,980
5183,982
5193,982
5203,982
5214,980
5225,978
5235,976
5245,976
5256,977
5266,979
5276,981
5287,982
5298,984
5308,983
5318,981
5328,979
5339,978
5349,976
5360,978
5370,980
5381,982
5391,984
5401,985
5411,985
5423,984
5433,982
5443,980
5453,978
5464,979
5474,980
5484,982
5495,984
5506,986
5516,985
5526,983
5536,982
5547,980
5558,978
5568,978
5578,981
5588,982
5599,984
5609,986
5620,986
5630,983
5641,981
5651,979
5661,978
5671,976
5682,978
5693,980
5703,982
5713,983
5724,985
5734,983
5744,981
5755,979
5766,977
5776,975
5786,975
5796,978
5807,980
5817,982
5828,983
5838,983
5849,981
5859,979
5869,977
5879,976
5891,977
5901,977
5911,979
5921,981
5932,981
5942,981
5953,980
5963,978
5974,976
5984,976
5994,976
6004,976
6014,978
6026,980
6036,980
6046,980
6056,980
6067,978
6077,976
6088,976
6098,976
6109,976
6119,978
6129,980
6139,981
6151,981
6161,981
6171,979
6181,977
6192,976
6202,976
6212,975
6223,977
6234,979
6244,982
6254,982
6264,982
6275,980
6286,978
6296,975
6306,976
6317,977
6327,979
6337,980
6347,982
6359,984
6369,983
6379,981
6389,980
6400,978
6410,976
6421,978
6431,980
6441,982
6452,983
6462,985
6472,985
6482,983
6494,982
6504,980
6514,978
6524,978
6535,980
6545,982
6556,984
6566,986
6577,985
6587,983
6597,981
6607,979
6619,978
6629,978
6639,980
6649,982
6660,985
6670,987
6680,986
6691,984
6702,982
6712,980
6722,978
6732,976
6743,978
