Time, VoltageOut
0,309
10,308
20,307
30,307
40,309
51,308
61,308
72,308
82,307
93,308
103,307
113,307
123,307
135,307
145,306
155,307
165,309
176,309
186,308
197,308
207,309
218,309
228,308
238,308
248,308
260,308
270,308
280,308
290,309
301,309
312,308
322,308
332,308
343,308
353,308
363,309
374,307
385,308
395,308
405,308
415,307
425,306
437,308
447,307
457,308
467,307
478,308
489,307
499,307
509,308
520,308
530,309
540,308
551,306
562,308
572,309
582,309
592,309
603,309
614,308
624,309
634,307
645,308
655,308
666,308
676,307
687,307
697,307
707,307
717,307
729,309
739,308
749,308
759,306
770,307
780,307
791,307
801,307
812,309
822,308
832,307
843,308
854,308
864,308
874,308
884,307
894,308
906,309
916,310
926,308
936,308
947,308
957,308
968,309
978,307
989,307
999,307
1009,307
1020,308
1031,308
1041,309
1051,308
1061,308
1073,308
1083,309
1093,309
1103,308
1115,309
1125,307
1135,309
1145,309
1156,310
1167,309
1177,308
1187,307
1198,309
1209,309
1219,309
1229,308
1240,307
1250,308
1261,307
1271,308
1282,308
1292,308
1303,307
1313,308
1324,309
1334,308
1344,307
1355,309
1366,308
1376,309
1386,309
1397,308
1408,308
1418,308
1428,308
1438,309
1449,310
1460,309
1470,307
1480,309
1491,307
1502,309
1512,307
1522,309
1532,308
1544,308
1554,309
1564,309
1574,308
1586,308
1596,308
1606,308
1616,309
1627,310
1638,310
1648,308
1658,309
1669,310
1680,309
1690,310
1700,309
1711,308
1721,308
1732,308
1742,307
1753,309
1763,309
1774,308
1784,309
1795,309
1805,310
1815,310
1826,310
1837,309
1847,309
1857,309
1868,307
1879,309
1889,309
1899,308
1909,309
1921,310
1931,309
1941,309
1951,311
1963,310
1973,309
1983,309
1993,308
2003,308
2015,308
2025,309
2035,309
2045,310
2057,309
2067,308
2077,308
2087,309
2098,309
2109,309
2119,310
2129,307
2140,308
2151,309
2161,309
2171,308
2182,309
2192,309
2203,310
2213,309
2224,309
2234,310
2245,311
2255,311
2266,309
2276,309
2286,309
2297,308
2308,309
2318,309
2328,308
2339,309
2350,310
2360,309
2370,309
2380,311
2392,311
2402,310
2412,309
2422,308
2434,308
2444,309
2454,310
2464,308
2475,309
2486,310
2496,308
2506,309
2516,309
2528,310
2538,310
2548,310
2558,309
2569,309
2580,309
2590,310
2600,309
2611,309
2622,309
2632,307
2642,310
2653,309
2663,310
2674,310
2684,310
2695,308
2705,310
2716,309
2726,309
2737,310
2747,308
2757,308
2768,308
2779,309
2789,310
2799,310
2810,312
2821,309
2831,309
2841,309
2851,309
2863,308
2873,310
2883,309
2893,310
2905,310
2915,309
2925,310
2935,310
2946,310
2957,310
2967,309
2977,311
2988,310
2999,310
3009,311
3019,309
3030,309
3040,308
3051,308
3061,308
3072,310
3082,310
3093,310
3103,309
3113,309
3124,310
3134,311
3145,310
3155,310
3166,310
3176,309
3187,309
3197,308
3208,311
3218,310
3228,310
3239,310
3250,309
3260,309
3270,309
3281,309
3292,309
3302,310
3312,309
3322,308
3334,310
3344,310
3354,310
3364,310
3376,310
3386,309
3396,310
3406,310
3417,309
3428,310
3438,311
3448,309
3459,311
3470,309
3480,309
3490,309
3501,309
3511,309
3522,310
3532,310
3543,310
3553,310
3564,311
3574,310
3585,309
3595,310
3605,309
3616,308
3627,309
3637,310
3647,311
3658,311
3668,311
3679,310
3689,311
3699,310
3710,310
3721,309
3731,308
3741,310
3752,310
3763,311
3773,311
3783,310
3793,311
3805,310
3815,309
3825,311
3835,309
3847,310
3857,311
3867,309
3877,308
3888,311
3899,309
3909,311
3919,310
3930,309
3941,308
3951,309
3961,310
3972,309
3982,310
3993,312
4003,310
4014,309
4024,310
4035,309
4045,310
4056,309
4066,309
4076,310
4087,310
4098,311
4108,309
4118,310
4129,310
4140,310
4150,309
4160,309
4170,309
4182,310
4192,311
4202,310
4212,310
4224,310
4234,310
4244,311
4254,311
4264,310
4276,310
4286,309
4296,310
4306,310
4318,311
4328,311
4338,310
4348,310
4359,309
4370,309
4380,309
4390,311
4401,310
4412,310
4422,311
4432,310
4443,311
4453,311
4464,310
4474,309
4485,309
4495,309
4506,310
4516,311
4527,311
4537,310
4547,310
4558,311
4569,309
4579,310
4589,310
4600,310
4611,310
4621,310
4631,310
4641,309
4653,311
4663,311
4673,311
4683,310
4695,309
4705,310
4715,311
4725,310
4736,310
4747,311
4757,310
4767,311
4777,310
4789,311
4799,310
4809,311
4819,309
4830,310
4841,309
4851,311
4861,311
4872,311
4883,310
4893,309
4903,309
4914,309
4924,309
4935,309
